vehID,routeKey,class,depart,arrival,travel_time,distance_m,on_express_s,admitted,denied
veh1384,654297629#6->564273553#0,veh_passenger,929.00,944.00,15.00,22.74,0.00,False,False
veh1383,24577455#0->465144361,veh_passenger,928.00,994.00,66.00,288.87,0.00,False,False
bus160,40140017#1->10629474#1,bus_bus,961.00,1002.00,41.00,252.35,0.00,False,False
veh1502,-47224972#0->-47224972#0,veh_passenger,1008.00,1009.00,1.00,5.85,0.00,False,False
veh1411,11635067->335802672,veh_passenger,947.00,1015.00,68.00,1704.60,27.00,True,False
veh1493,1196008692#1->178583167#0,veh_passenger,1002.00,1020.00,18.00,189.73,0.00,False,False
veh1346,39920550#6->33683346#0,veh_passenger,903.00,1024.00,121.00,1043.86,0.00,False,False
truck76,-488788633#2->-39838691#3,truck_truck,913.00,1062.00,149.00,1234.36,0.00,False,False
veh1500,40140141#2->-257421487#0,veh_passenger,1006.00,1067.00,61.00,609.40,0.00,False,False
veh1358,39920593#5->-1323097580#1,veh_passenger,911.00,1099.00,188.00,579.34,0.00,False,False
veh1464,39838751#1->-10628430,veh_passenger,982.00,1102.00,120.00,364.15,0.00,False,False
veh1563,-50323229#2->1273251150#1,veh_passenger,1049.00,1106.00,57.00,346.03,0.00,False,False
bus165,40297715#3->39920550#4,bus_bus,991.00,1107.00,116.00,290.50,0.00,False,False
veh1347,-47224972#1->-1068144849#2,veh_passenger,904.00,1110.00,206.00,1728.44,38.00,False,False
veh1525,475044040#4->-238219449,veh_passenger,1025.00,1110.00,85.00,484.27,0.00,False,False
veh1417,-401226926#0->238219446#1,veh_passenger,951.00,1112.00,161.00,962.11,0.00,False,True
veh1377,1211151635#0->1214520074#2,veh_passenger,924.00,1120.00,196.00,1239.98,0.00,False,False
veh1367,1337646271#0->515130026#0,veh_passenger,917.00,1125.00,208.00,1295.03,0.00,False,False
veh1587,240666069#0->428730800,veh_passenger,1065.00,1126.00,61.00,565.24,0.00,False,False
veh1573,40140141#6->-169562956,veh_passenger,1055.00,1131.00,76.00,687.13,0.00,False,False
bus164,142741729#1->40139504#1,bus_bus,985.00,1139.00,154.00,568.58,0.00,False,False
bus187,428730793#0->460316444,bus_bus,1123.00,1144.00,21.00,181.64,0.00,False,False
veh1693,-40109290#3->-50323229#13,veh_passenger,1136.00,1150.00,14.00,53.08,0.00,False,False
veh1510,-1332638368#2->1421367508,veh_passenger,1015.00,1154.00,139.00,862.54,0.00,False,False
veh1366,515126385#1->40140141#7,veh_passenger,917.00,1157.00,240.00,2045.66,23.00,True,False
veh1566,40140141#0->-240666072#1,veh_passenger,1051.00,1186.00,135.00,654.14,0.00,False,False
veh1756,1323097580#0->1323097580#0,veh_passenger,1179.00,1186.00,7.00,49.61,0.00,False,False
bus152,-1068144848#1->-428730807,bus_bus,913.00,1187.00,274.00,1143.03,34.00,False,False
veh1664,8887999#1->47225638#0,veh_passenger,1116.00,1187.00,71.00,957.11,0.00,False,False
veh1505,1335304375->-474143552#6,veh_passenger,1041.00,1190.00,149.00,493.31,121.00,False,False
veh1438,1226645411->1211151635#1,veh_passenger,965.00,1215.00,250.00,2633.21,0.00,False,False
veh1527,654297632#2->-40109239,veh_passenger,1026.00,1219.00,193.00,950.94,6.00,True,False
veh1538,47087992#0->240666069#2,veh_passenger,1032.00,1223.00,191.00,2242.99,11.00,True,False
veh1420,-1068144845#4->47267010,veh_passenger,953.00,1227.00,274.00,2190.69,35.00,False,False
veh1649,39763700#0->39838657#2,veh_passenger,1106.00,1255.00,149.00,790.81,0.00,False,False
truck95,1214520074#5->-12247568#1,truck_truck,1141.00,1282.00,141.00,1159.71,0.00,False,False
veh1656,515124966->-450616334#0,veh_passenger,1114.00,1284.00,170.00,1136.71,0.00,False,False
veh1524,479863106#0->39920505#9,veh_passenger,1023.00,1285.00,262.00,1160.69,0.00,False,False
veh1698,1290439818->178699051#1,veh_passenger,1139.00,1289.00,150.00,594.25,0.00,False,False
truck84,1214520075->1074771170,truck_truck,1095.00,1295.00,200.00,983.71,0.00,False,False
veh1459,1222703383->238219441#0,veh_passenger,979.00,1297.00,318.00,869.29,129.00,False,False
veh1740,-1125986406#0->967985513#2,veh_passenger,1167.00,1297.00,130.00,1175.09,0.00,False,False
veh1830,-169562956->-1260485931#0,veh_passenger,1228.00,1300.00,72.00,726.42,0.00,False,False
veh1610,1064476620#3->-654297637#1,veh_passenger,1080.00,1322.00,242.00,546.13,0.00,False,False
bus184,509524271->-1255099069,bus_bus,1208.00,1338.00,130.00,926.96,0.00,False,False
veh1452,1298335703->511405572,veh_passenger,974.00,1346.00,372.00,917.29,0.00,False,False
veh1820,47224972#1->1118804256#0,veh_passenger,1221.00,1347.00,126.00,1669.72,39.00,False,False
veh1903,1067928305#0->1015424648,veh_passenger,1277.00,1362.00,85.00,945.68,0.00,False,False
veh1907,40297715#2->39920593#5,veh_passenger,1279.00,1367.00,88.00,180.06,0.00,False,False
veh1558,178699058->-1015424648,veh_passenger,1045.00,1378.00,333.00,2377.45,39.00,False,False
veh2034,465144361->1235754993#1,veh_passenger,1364.00,1383.00,19.00,209.69,0.00,False,False
veh1645,15420537#1->9833223,veh_passenger,1104.00,1394.00,290.00,2275.88,17.00,True,False
veh2075,-39838691#10->-39838691#8,veh_passenger,1392.00,1402.00,10.00,71.68,0.00,False,False
veh1864,40035325#2->-40140017#1,veh_passenger,1250.00,1428.00,178.00,628.88,0.00,False,True
veh1423,-687878722#0->488788636#0,veh_passenger,955.00,1448.00,493.00,954.49,0.00,False,False
